month_rel,att,se,lo,hi
-9,0.005524099528537937,0.010307066484848613,-0.014677750781765343,0.025725949838841217
-8,0.01446577620535186,0.010704927955741978,-0.006515882587902415,0.035447434998606135
-7,0.018160078047572213,0.010790622191795635,-0.002989541448347229,0.03930969754349166
-6,0.040438546007899534,0.012714040277213899,0.015519027064560292,0.06535806495123878
-5,0.03261971623515354,0.010773527407462721,0.011503602516526608,0.05373582995378048
-4,0.0360866636305659,0.010049873319062602,0.016388911925203205,0.0557844153359286
-3,-0.008294906483116446,0.011545401092640638,-0.030923892624692098,0.014334079658459205
-2,0.004764016717603625,0.009598354883283243,-0.014048758853631532,0.023576792288838782
-1,0.0,0.011189069879253988,-0.021930576963337816,0.021930576963337816
0,0.0060689972812748155,0.010448489725038266,-0.014410042579800185,0.026548037142349816
1,0.029212524706838515,0.010566934788578968,0.008501332521223738,0.04992371689245329
2,0.04351623103843107,0.009846306714343486,0.02421746987831784,0.0628149921985443
3,0.0169367885477993,0.010161128554376102,-0.0029790234187778604,0.03685260051437646
4,0.049615668119323796,0.010751600779748802,0.028542530591016142,0.07068880564763144
5,0.04792345155649943,0.009526450596657104,0.029251608387051504,0.06659529472594736
6,0.011345729835305171,0.009875685305787715,-0.00801061336403875,0.030702073034649092
7,0.03855654909013124,0.01006521457346189,0.018828728526145935,0.05828436965411654
8,0.022271726418949984,0.010602421674142243,0.0014909799376311879,0.043052472900268784
9,0.04982581571490533,0.009576488044436187,0.031055899147810408,0.06859573228200025
10,0.05171960483842863,0.011374921800367118,0.029424758109709077,0.07401445156714817
11,0.07013311581457382,nan,nan,nan
